Specimen label,"1018_1"
End date,"Monday, January 24, 2022"
Thickness,"6.24000",mm
Width,"12.38000",mm
Final length,"57.02000",mm
Axial gauge length,"25.40000",mm
Transverse gauge length,"12.38000",mm
Crosshead Rate,"5.00",mm/min

Time,Extension,Load,Axial Strain,Transverse Strain
(s),(mm),(N),(mm/mm),(mm/mm)
"33.400","2.784","38975.88","0.00338","0.00179"
"33.500","2.792","39073.94","0.00342","0.00181"
"33.600","2.800","39178.29","0.00344","0.00182"
"33.700","2.809","39288.69","0.00347","0.00184"
"33.800","2.817","39386.29","0.00350","0.00186"
"33.900","2.825","39506.27","0.00354","0.00188"
"34.000","2.833","39592.48","0.00357","0.00191"
"34.100","2.842","39702.27","0.00360","0.00193"
"34.200","2.850","39802.97","0.00363","0.00196"
"34.300","2.859","39907.11","0.00366","0.00198"
"34.400","2.867","40009.15","0.00369","0.00201"
"34.500","2.875","40105.64","0.00373","0.00203"
"34.600","2.883","40201.45","0.00376","0.00205"
"34.700","2.892","40304.92","0.00379","0.00207"
"34.800","2.900","40402.78","0.00383","0.00209"
"34.900","2.909","40486.89","0.00386","0.00212"
"35.000","2.917","40595.68","0.00389","0.00214"
"35.100","2.925","40662.75","0.00393","0.00217"
"35.200","2.933","40781.66","0.00397","0.00219"
"35.300","2.942","40856.20","0.00400","0.00222"
"35.400","2.950","40951.04","0.00404","0.00224"
"35.500","2.959","41041.62","0.00408","0.00227"
"35.600","2.967","41139.83","0.00411","0.00229"
"35.700","2.975","41233.03","0.00415","0.00232"
"35.800","2.983","41296.27","0.00419","0.00235"
"35.900","2.992","41415.27","0.00423","0.00237"
"36.000","3.000","41480.96","0.00427","0.00241"
"36.100","3.008","41561.39","0.00432","0.00243"
"36.200","3.017","41652.02","0.00435","0.00246"
"36.300","3.025","41733.60","0.00441","0.00249"
"36.400","3.033","41826.94","0.00444","0.00252"
"36.500","3.042","41877.48","0.00449","0.00255"
"36.600","3.050","41978.89","0.00453","0.00258"
"36.700","3.058","42059.82","0.00457","0.00262"
"36.800","3.067","42114.24","0.00462","0.00265"
"36.900","3.075","42192.73","0.00467","0.00268"
"37.000","3.083","42281.41","0.00471","0.00271"
"37.100","3.092","42349.47","0.00476","0.00274"
"37.200","3.100","42431.80","0.00481","0.00278"
"37.300","3.108","42476.14","0.00485","0.00282"
"37.400","3.117","42566.57","0.00490","0.00286"
"37.500","3.125","42647.01","0.00495","0.00289"
"37.600","3.133","42690.32","0.00500","0.00293"
"37.700","3.142","42767.90","0.00505","0.00296"
"37.800","3.150","42844.51","0.00510","0.00300"
"37.900","3.158","42900.18","0.00516","0.00305"
"38.000","3.167","42952.20","0.00520","0.00308"
"38.100","3.175","43021.01","0.00526","0.00312"
"38.200","3.183","43085.42","0.00531","0.00316"
"38.300","3.192","43137.93","0.00537","0.00320"
"38.400","3.200","43207.21","0.00543","0.00325"
"38.500","3.208","43270.05","0.00548","0.00329"
"38.600","3.217","43310.11","0.00554","0.00333"
"38.700","3.225","43371.44","0.00560","0.00337"
"38.800","3.234","43423.12","0.00566","0.00342"
"38.900","3.242","43498.14","0.00572","0.00346"
"39.000","3.250","43516.10","0.00578","0.00351"
"39.100","3.258","43572.57","0.00585","0.00356"
"39.200","3.267","43624.52","0.00591","0.00360"
"39.300","3.275","43694.80","0.00598","0.00365"
"39.400","3.284","43724.09","0.00604","0.00370"
"39.500","3.292","43764.66","0.00611","0.00374"
"39.600","3.300","43817.75","0.00617","0.00380"
"39.700","3.309","43870.81","0.00624","0.00385"
"39.800","3.317","43909.52","0.00631","0.00390"
"39.900","3.325","43942.48","0.00638","0.00395"
"40.000","3.334","43982.58","0.00645","0.00400"
"40.100","3.342","44026.51","0.00652","0.00406"
"40.200","3.350","44078.59","0.00659","0.00411"
"40.300","3.358","44118.86","0.00666","0.00417"
"40.400","3.367","44137.50","0.00673","0.00422"
"40.500","3.375","44175.94","0.00681","0.00428"
"40.600","3.383","44228.28","0.00688","0.00434"
"40.700","3.392","44252.70","0.00696","0.00439"
"40.800","3.400","44303.61","0.00704","0.00445"
"40.900","3.409","44328.05","0.00712","0.00451"
"41.000","3.417","44347.62","0.00721","0.00457"
"41.100","3.425","44383.97","0.00729","0.00462"
"41.200","3.433","44425.67","0.00738","0.00468"
"41.300","3.442","44445.79","0.00746","0.00475"
"41.400","3.450","44483.12","0.00755","0.00480"
